=== TODOS LOS REGISTROS ===
id=114 | id_ep=P58 | id_vm=SOL13 | estado=Pago | socio=Gimena
id=245 | id_ep=P158 | id_vm=SOL10 | estado=Pendiente | socio=Vladimir
id=246 | id_ep=P159 | id_vm=SOL10 | estado=Pendiente | socio=Vladimir
id=247 | id_ep=P160 | id_vm=SOL11 | estado=Pendiente | socio=Fermin
id=248 | id_ep=P161 | id_vm=SOL11 | estado=Pendiente | socio=Fermin
id=249 | id_ep=P162 | id_vm=SOL11 | estado=Pendiente | socio=Fermin
id=250 | id_ep=P163 | id_vm=SOL11 | estado=Pendiente | socio=Fermin
id=251 | id_ep=P164 | id_vm=SOL11 | estado=Pendiente | socio=Fermin
id=252 | id_ep=P165 | id_vm=SOL12 | estado=Pendiente | socio=Leonardo
id=253 | id_ep=P166 | id_vm=SOL12 | estado=Pendiente | socio=Leonardo
id=254 | id_ep=P167 | id_vm=SOL12 | estado=Pendiente | socio=Leonardo
id=255 | id_ep=P168 | id_vm=SOL15 | estado=Pendiente | socio=Diana
id=256 | id_ep=P169 | id_vm=SOL15 | estado=Pendiente | socio=Diana
id=257 | id_ep=P170 | id_vm=SOL15 | estado=Pendiente | socio=Diana
id=258 | id_ep=P171 | id_vm=SOL15 | estado=Pendiente | socio=Diana
id=259 | id_ep=P172 | id_vm=SOL15 | estado=Pendiente | socio=Diana
id=260 | id_ep=P173 | id_vm=SOL15 | estado=Pendiente | socio=Diana
id=261 | id_ep=P174 | id_vm=SOL16 | estado=Pendiente | socio=David
id=262 | id_ep=P175 | id_vm=SOL16 | estado=Pendiente | socio=David
id=263 | id_ep=P176 | id_vm=SOL16 | estado=Pendiente | socio=David
id=264 | id_ep=P177 | id_vm=SOL16 | estado=Pendiente | socio=David
id=265 | id_ep=P178 | id_vm=SOL16 | estado=Pendiente | socio=David
id=266 | id_ep=P179 | id_vm=SOL16 | estado=Pendiente | socio=David
id=267 | id_ep=P180 | id_vm=SOL16 | estado=Pendiente | socio=David
id=268 | id_ep=P181 | id_vm=SOL16 | estado=Pendiente | socio=David
id=269 | id_ep=P182 | id_vm=SOL16 | estado=Pendiente | socio=David
id=270 | id_ep=P183 | id_vm=SOL16 | estado=Pendiente | socio=David
id=271 | id_ep=P184 | id_vm=SOL17 | estado=Pendiente | socio=Gimena
id=272 | id_ep=P185 | id_vm=SOL17 | estado=Pendiente | socio=Gimena
id=273 | id_ep=P186 | id_vm=SOL17 | estado=Pendiente | socio=Gimena
id=274 | id_ep=P187 | id_vm=SOL17 | estado=Pendiente | socio=Gimena
id=275 | id_ep=P188 | id_vm=SOL17 | estado=Pendiente | socio=Gimena
id=276 | id_ep=P189 | id_vm=SOL17 | estado=Pendiente | socio=Gimena
id=277 | id_ep=P190 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=278 | id_ep=P191 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=279 | id_ep=P192 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=280 | id_ep=P193 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=281 | id_ep=P194 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=282 | id_ep=P195 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=283 | id_ep=P196 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=284 | id_ep=P197 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=285 | id_ep=P198 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=286 | id_ep=P199 | id_vm=SOL14 | estado=Pendiente | socio=Juan Carlos
id=287 | id_ep=P200 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=288 | id_ep=P201 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=289 | id_ep=P202 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=290 | id_ep=P203 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=291 | id_ep=P204 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=292 | id_ep=P205 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=293 | id_ep=P206 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=294 | id_ep=P207 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=295 | id_ep=P208 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=296 | id_ep=P209 | id_vm=SOL18 | estado=Pendiente | socio=Vladimir
id=297 | id_ep=P210 | id_vm=SOL19 | estado=Pendiente | socio=Jesus Vladimir
id=298 | id_ep=P211 | id_vm=SOL19 | estado=Pendiente | socio=Jesus Vladimir
id=299 | id_ep=P212 | id_vm=SOL19 | estado=Pendiente | socio=Jesus Vladimir
id=300 | id_ep=P213 | id_vm=SOL19 | estado=Pendiente | socio=Jesus Vladimir
id=301 | id_ep=P214 | id_vm=SOL19 | estado=Pendiente | socio=Jesus Vladimir
id=302 | id_ep=P215 | id_vm=SOL20 | estado=Pendiente | socio=Laura
id=303 | id_ep=P216 | id_vm=SOL20 | estado=Pendiente | socio=Laura
id=304 | id_ep=P217 | id_vm=SOL20 | estado=Pendiente | socio=Laura
id=305 | id_ep=P218 | id_vm=SOL20 | estado=Pendiente | socio=Laura
id=306 | id_ep=P219 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=307 | id_ep=P220 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=308 | id_ep=P221 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=309 | id_ep=P222 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=310 | id_ep=P223 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=311 | id_ep=P224 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=312 | id_ep=P225 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=313 | id_ep=P226 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=314 | id_ep=P227 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=315 | id_ep=P228 | id_vm=SOL21 | estado=Pendiente | socio=Xiomara
id=316 | id_ep=P229 | id_vm=SOL22 | estado=Pendiente | socio=Leonardo
id=317 | id_ep=P230 | id_vm=SOL22 | estado=Pendiente | socio=Leonardo

=== REGISTROS CON estado=Pago ===
id=114 | id_ep=P58 | id_vm=SOL13 | socio=Gimena | valor_cuota_pago=3704750
